value,domain_desc,unit_desc,short_desc,statisticcat_desc,survey_id
70,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",11320
410,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",11420
140,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",11319
180,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",11519
110,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",11619
4300,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",41320
170,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",41420
1500,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",41319
770,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",41519
3400,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",41619
390,TOTAL,COLONIES,"HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES","LOSS, COLONY COLLAPSE DISORDER",51320
