value,domain_desc,unit_desc,short_desc,statisticcat_desc,survey_id
8000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11320
8500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11420
5500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11319
7000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11519
6000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11619
7500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11318
8500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11418
8500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11518
6500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11618
7000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11317
6500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11417
9500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11517
7500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11617
7500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11316
8000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11416
8000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11516
7000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11616
7000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11315
7500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11415
9000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11515
8000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",11615
32000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41320
26000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41420
22000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41319
30000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41519
36000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41619
26000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41318
19500,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41418
31000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41518
27000,TOTAL,COLONIES,"HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES","INVENTORY, MAX",41618
