country_name,country_code,state_name,state_alpha,state_fips_code
UNITED STATES,9000,ALABAMA,AL,1
UNITED STATES,9000,ARIZONA,AZ,4
UNITED STATES,9000,ARKANSAS,AR,5
UNITED STATES,9000,CALIFORNIA,CA,6
UNITED STATES,9000,COLORADO,CO,8
UNITED STATES,9000,FLORIDA,FL,12
UNITED STATES,9000,GEORGIA,GA,13
UNITED STATES,9000,HAWAII,HI,15
UNITED STATES,9000,IDAHO,ID,16
UNITED STATES,9000,ILLINOIS,IL,17
UNITED STATES,9000,INDIANA,IN,18
UNITED STATES,9000,IOWA,IA,19
UNITED STATES,9000,KANSAS,KS,20
UNITED STATES,9000,KENTUCKY,KY,21
UNITED STATES,9000,LOUISIANA,LA,22
UNITED STATES,9000,MAINE,ME,23
UNITED STATES,9000,MICHIGAN,MI,26
UNITED STATES,9000,MINNESOTA,MN,27
UNITED STATES,9000,MISSISSIPPI,MS,28
UNITED STATES,9000,MISSOURI,MO,29
UNITED STATES,9000,MONTANA,MT,30
UNITED STATES,9000,NEBRASKA,NE,31
UNITED STATES,9000,NEW JERSEY,NJ,34
UNITED STATES,9000,NEW YORK,NY,36
UNITED STATES,9000,NORTH CAROLINA,NC,37
UNITED STATES,9000,NORTH DAKOTA,ND,38
UNITED STATES,9000,OHIO,OH,39
UNITED STATES,9000,OREGON,OR,41
UNITED STATES,9000,PENNSYLVANIA,PA,42
UNITED STATES,9000,SOUTH CAROLINA,SC,45
UNITED STATES,9000,SOUTH DAKOTA,SD,46
UNITED STATES,9000,TENNESSEE,TN,47
UNITED STATES,9000,TEXAS,TX,48
UNITED STATES,9000,UTAH,UT,49
UNITED STATES,9000,VERMONT,VT,50
UNITED STATES,9000,VIRGINIA,VA,51
UNITED STATES,9000,WASHINGTON,WA,53
UNITED STATES,9000,WEST VIRGINIA,WV,54
UNITED STATES,9000,WISCONSIN,WI,55
UNITED STATES,9000,WYOMING,WY,56
UNITED STATES,9000,OTHER STATES,OT,98
UNITED STATES,9000,CONNECTICUT,CT,9
UNITED STATES,9000,DELAWARE,DE,10
UNITED STATES,9000,MARYLAND,MD,24
UNITED STATES,9000,MASSACHUSETTS,MA,25
UNITED STATES,9000,NEVADA,NV,32
UNITED STATES,9000,NEW HAMPSHIRE,NH,33
UNITED STATES,9000,NEW MEXICO,NM,35
UNITED STATES,9000,OKLAHOMA,OK,40
UNITED STATES,9000,RHODE ISLAND,RI,44
