value,domain_desc,unit_desc,short_desc,statisticcat_desc,survey_id
3.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11320
18,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11420
22.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11319
24.6,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11519
26.7,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11619
30.2,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11318
27.3,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11418
69.4,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11518
20.5,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11618
9.8,TOTAL,PCT OF COLONIES,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",INVENTORY,11317
